intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 1,000, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,300, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,500, makespan: 47 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 1,000, makespan: 47 
Best run: intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,300, makespan: 47 
