intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,300, makespan: 75 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,500, makespan: 74 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 1,000, makespan: 73 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,300, makespan: 73 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,500, makespan: 74 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 1,000, makespan: 73 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,300, makespan: 72 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,500, makespan: 74 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 1,000, makespan: 73 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,300, makespan: 73 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,500, makespan: 71 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 1,000, makespan: 72 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,300, makespan: 71 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,500, makespan: 73 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 1,000, makespan: 71 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,300, makespan: 74 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,500, makespan: 72 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 1,000, makespan: 75 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,300, makespan: 71 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,500, makespan: 73 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 1,000, makespan: 74 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,300, makespan: 74 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,500, makespan: 71 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 1,000, makespan: 73 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,300, makespan: 72 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,500, makespan: 73 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 1,000, makespan: 74 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,300, makespan: 72 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,500, makespan: 73 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 1,000, makespan: 73 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,300, makespan: 71 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,500, makespan: 73 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 1,000, makespan: 74 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,300, makespan: 72 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,500, makespan: 72 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 1,000, makespan: 73 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,300, makespan: 74 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,500, makespan: 74 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 1,000, makespan: 72 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,300, makespan: 74 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,500, makespan: 73 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 1,000, makespan: 72 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,300, makespan: 75 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,500, makespan: 72 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 1,000, makespan: 73 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,300, makespan: 70 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,500, makespan: 71 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 1,000, makespan: 72 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,300, makespan: 73 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,500, makespan: 71 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 1,000, makespan: 72 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,300, makespan: 73 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,500, makespan: 70 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 1,000, makespan: 74 
Best run: intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,300, makespan: 70 
