intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,300, makespan: 149 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,500, makespan: 150 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 1,000, makespan: 148 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,300, makespan: 148 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,500, makespan: 149 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 1,000, makespan: 148 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,300, makespan: 149 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,500, makespan: 147 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 1,000, makespan: 145 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,300, makespan: 149 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,500, makespan: 146 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 1,000, makespan: 151 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,300, makespan: 148 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,500, makespan: 147 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 1,000, makespan: 147 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,300, makespan: 149 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,500, makespan: 148 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 1,000, makespan: 148 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,300, makespan: 150 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,500, makespan: 150 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 1,000, makespan: 150 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,300, makespan: 146 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,500, makespan: 143 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 1,000, makespan: 146 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,300, makespan: 150 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,500, makespan: 146 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 1,000, makespan: 147 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,300, makespan: 147 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,500, makespan: 148 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 1,000, makespan: 148 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,300, makespan: 149 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,500, makespan: 147 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 1,000, makespan: 149 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,300, makespan: 149 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,500, makespan: 149 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 1,000, makespan: 150 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,300, makespan: 149 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,500, makespan: 150 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 1,000, makespan: 149 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,300, makespan: 143 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,500, makespan: 148 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 1,000, makespan: 148 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,300, makespan: 149 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,500, makespan: 147 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 1,000, makespan: 149 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,300, makespan: 151 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,500, makespan: 149 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 1,000, makespan: 150 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,300, makespan: 150 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,500, makespan: 147 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 1,000, makespan: 148 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,300, makespan: 150 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,500, makespan: 146 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 1,000, makespan: 150 
Best run: intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,500, makespan: 143 
